Temperature	Field	Energy	Magnetization	SpecificHeat	Susceptibility	M_x
1.875	0	-0.595225	0.0880886	0.000873228	0.00111782	0.0329001
1.88	0	-0.590147	0.0993715	0.00101663	0.00164722	-0.0242625
1.885	0	-0.577898	0.0925504	0.000890328	0.00140451	0.0298448
1.89	0	-0.582591	0.0988741	0.00100767	0.00121435	-0.0218751
1.895	0	-0.581136	0.0760024	0.000855899	0.000788795	0.0125062
1.9	0	-0.575184	0.0903775	0.000838744	0.00120134	0.00914627
1.905	0	-0.585647	0.101058	0.000811071	0.00131235	-0.0230384
1.91	0	-0.577385	0.0896441	0.00093616	0.00104649	0.00414035
1.915	0	-0.581141	0.0894575	0.00109092	0.00124825	-0.0169518
1.92	0	-0.568026	0.0881983	0.000984689	0.00114811	-0.000647448
1.925	0	-0.581353	0.114078	0.000952232	0.0019621	0.0344542
1.93	0	-0.566992	0.0860128	0.000720901	0.00108238	-0.0144505
1.935	0	-0.590237	0.10787	0.00113434	0.00164811	-0.0232042
1.94	0	-0.576812	0.0817039	0.00120341	0.00100171	0.0148277
1.945	0	-0.571914	0.0918594	0.000814609	0.000958691	0.0270453
1.95	0	-0.575477	0.100581	0.000762451	0.00139307	0.00885896
1.955	0	-0.55939	0.0873898	0.000784131	0.00104899	0.0126255
1.96	0	-0.559087	0.0863977	0.000842309	0.000895232	-0.0167052
1.965	0	-0.554	0.0817649	0.00100378	0.000713449	-0.00744376
1.97	0	-0.550898	0.0816318	0.000754045	0.00115853	0.00866181
1.975	0	-0.548455	0.0917504	0.000837685	0.000942869	-0.0163461
1.98	0	-0.555956	0.0971516	0.000792577	0.000960135	0.0153372
1.985	0	-0.546542	0.0879122	0.000709501	0.00108721	0.00922161
1.99	0	-0.552043	0.0879802	0.000722925	0.000888961	0.0266517
1.995	0	-0.550369	0.0941014	0.000949149	0.00135947	-0.0205395
2	0	-0.549396	0.0884573	0.000985618	0.00143503	-0.00595634
2.005	0	-0.549801	0.085367	0.000807157	0.00104777	0.0254298
2.01	0	-0.54268	0.0854815	0.000900126	0.000849656	-0.00776013
2.015	0	-0.533908	0.0860625	0.000676737	0.000857337	-0.000442067
2.02	0	-0.545125	0.0919029	0.000895752	0.00101229	0.0106683
2.025	0	-0.55204	0.0870584	0.000772721	0.000947978	-0.00701604
2.03	0	-0.540387	0.0859503	0.000715023	0.000862519	-0.0122345
2.035	0	-0.538121	0.0870815	0.000796984	0.000917705	0.00908475
2.04	0	-0.530664	0.0953927	0.000713152	0.00129671	-0.00297575
2.045	0	-0.527667	0.0860493	0.000599653	0.000785542	-0.0077257
2.05	0	-0.541391	0.0856395	0.000746428	0.000898059	-0.0148228
2.055	0	-0.530836	0.0789211	0.000773416	0.000944032	-0.0264311
2.06	0	-0.525751	0.0785738	0.000643503	0.000952321	-0.000774852
2.065	0	-0.541038	0.0842473	0.000625766	0.00121094	-0.00590044
2.07	0	-0.521629	0.0757653	0.000589931	0.000695723	0.00941168
2.075	0	-0.518688	0.0976768	0.000702369	0.00112815	-0.000280979
2.08	0	-0.526023	0.0836227	0.000617311	0.000874603	-0.00279779
