Temperature	Field	Energy	Magnetization	SpecificHeat	Susceptibility	M_x
5	-0.1	-0.407664	0.0534706	9.79675e-05	0.000154167	-0.0182592
5	-0.05	-0.403923	0.059208	0.000113881	0.00020173	-0.00730771
5	-1.38778e-17	-0.401302	0.0559339	0.000115356	0.000164975	0.000790233
5	0.05	-0.404178	0.0568896	9.95563e-05	0.000159206	0.00675171
5	0.1	-0.400935	0.0605336	0.000100207	0.00020554	0.019534
5	0.15	-0.405033	0.0604935	0.000117199	0.000191327	0.0285097
5	0.2	-0.406183	0.0616761	0.000110864	0.000214564	0.0341936
5	0.2	-0.403009	0.0617399	0.00010741	0.000193648	0.0257083
5	0.15	-0.398278	0.0613038	0.000120657	0.000165913	0.0195399
5	0.1	-0.396939	0.0551899	0.000111916	0.000180236	0.0190422
5	0.05	-0.391191	0.0524888	0.000100207	0.000142898	0.0132642
5	1.38778e-17	-0.3954	0.0596126	0.00010158	0.000195359	-0.0042819
5	-0.05	-0.397438	0.0578713	0.000112727	0.000195863	-0.0120188
5	-0.1	-0.394412	0.0585999	0.0001142	0.000195446	-0.0184812
5	-0.15	-0.39701	0.0634462	0.000101347	0.000217936	-0.0274274
5	-0.2	-0.402641	0.0604405	0.000107557	0.000157688	-0.0242431
7	-0.2	-0.354117	0.0570963	5.35569e-05	0.000119784	-0.0232346
7	-0.15	-0.351482	0.0541572	4.74607e-05	0.000108626	-0.0104609
7	-0.1	-0.348004	0.0546454	4.95816e-05	0.000101874	-0.0106796
7	-0.05	-0.344078	0.0515759	4.65683e-05	0.000101338	-0.00297604
7	-1.38778e-17	-0.34788	0.0510546	4.97965e-05	9.97121e-05	-0.00215834
7	0.05	-0.349666	0.0504242	4.59534e-05	0.000113314	0.00593
7	0.1	-0.353826	0.0546573	4.93554e-05	0.000114237	0.00842025
7	0.15	-0.347854	0.0533904	5.80121e-05	0.000111286	0.0229539
7	0.2	-0.358724	0.0592225	5.57975e-05	0.00013093	0.0269309
7	0.2	-0.349246	0.0514424	4.97338e-05	0.000100617	0.0196256
7	0.15	-0.355077	0.0576938	4.68777e-05	0.000139371	0.0242084
7	0.1	-0.355437	0.0511556	5.30139e-05	0.000111383	0.00880826
7	0.05	-0.349662	0.0533826	4.89384e-05	0.000110537	0.00758971
7	1.38778e-17	-0.346217	0.0552604	5.25075e-05	0.000119735	0.00110612
7	-0.05	-0.351728	0.0530782	4.97997e-05	0.000106037	-0.012019
7	-0.1	-0.352292	0.0512027	6.13107e-05	0.000108593	-0.00429368
7	-0.15	-0.355707	0.0533224	5.42594e-05	0.000114237	-0.0156727
7	-0.2	-0.353125	0.0578189	5.38507e-05	0.000127648	-0.0247432
10	-0.2	-0.302532	0.0550971	2.71726e-05	7.29238e-05	-0.0170385
10	-0.15	-0.306548	0.0521203	2.48996e-05	7.61103e-05	-0.0154137
